id;date_affectation;quantite;nom;prenom;created_at;update_at
1;2022-01-11;67494;Sum Poitou-Charentes;Ball Directeur database;2022-01-11;2022-01-10
2;2022-01-11;76905;b Lorraine;purple killer payment;2022-01-10;2022-01-11
3;2022-01-11;97912;Frozen;innovate mobile Kina;2022-01-11;2022-01-11
4;2022-01-10;39381;Card;bleeding-edge bandwidth;2022-01-11;2022-01-10
5;2022-01-10;95988;Brunei Cheese c;Wooden Rustic a;2022-01-11;2022-01-11
6;2022-01-10;12018;PCI programming Berkshire;Barbade Chicken Baby;2022-01-11;2022-01-11
7;2022-01-11;8850;Pizza;Account Investment auxiliary;2022-01-10;2022-01-11
8;2022-01-11;74052;Tasty;a Kirghizistan;2022-01-11;2022-01-11
9;2022-01-10;46516;24/7;Cambridgeshire;2022-01-11;2022-01-10
10;2022-01-10;59271;mindshare;b B2C scalable;2022-01-10;2022-01-11
